year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,7,14,1201,1210,-9,1445,1500,-15,AA,743,N575AA,LGA,DFW,184,1389,12,10,2013-07-14T16:00:00Z
2013,4,16,653,700,-7,803,805,-2,US,2116,N967UW,LGA,BOS,38,184,7,0,2013-04-16T11:00:00Z
2013,1,21,612,615,-3,834,855,-21,9E,3856,N228PQ,JFK,ATL,120,760,6,15,2013-01-21T11:00:00Z
2013,1,3,1833,1840,-7,2019,2020,-1,MQ,3730,N522MQ,EWR,ORD,110,719,18,40,2013-01-03T23:00:00Z
2013,7,16,2150,2155,-5,2311,2329,-18,EV,3267,N13978,EWR,ORF,46,284,21,55,2013-07-17T01:00:00Z
2013,9,5,1108,1115,-7,1355,1408,-13,DL,1275,N3737C,JFK,SLC,266,1990,11,15,2013-09-05T15:00:00Z
2013,3,10,716,715,1,1012,1045,-33,AA,443,N628AA,JFK,MIA,143,1089,7,15,2013-03-10T11:00:00Z
2013,3,8,NA,1712,NA,NA,1828,NA,EV,4701,N13988,EWR,BTV,NA,266,17,12,2013-03-08T22:00:00Z
2013,5,14,557,600,-3,805,827,-22,DL,461,N695DL,LGA,ATL,100,762,6,0,2013-05-14T10:00:00Z
2013,3,8,1523,1001,322,1646,1129,317,EV,4187,N16999,EWR,BNA,112,748,10,1,2013-03-08T15:00:00Z
2013,11,22,1901,1829,32,2047,2044,3,EV,5268,N709EV,LGA,CLT,87,544,18,29,2013-11-22T23:00:00Z
2013,9,30,1448,1455,-7,1633,1640,-7,MQ,3359,N839MQ,JFK,RDU,73,427,14,55,2013-09-30T18:00:00Z
2013,11,15,1636,1645,-9,1750,1805,-15,EV,4409,N15912,EWR,ROC,43,246,16,45,2013-11-15T21:00:00Z
2013,2,4,2240,2250,-10,2343,2358,-15,B6,608,N229JB,JFK,PWM,46,273,22,50,2013-02-05T03:00:00Z
2013,4,27,718,725,-7,839,905,-26,AA,305,N553AA,LGA,ORD,109,733,7,25,2013-04-27T11:00:00Z
2013,6,10,622,630,-8,816,830,-14,EV,4166,N14902,EWR,GSP,94,594,6,30,2013-06-10T10:00:00Z
