carat,price
1.24,5714
0.33,614
0.33,492
0.82,2867
1.01,6846
2.03,16505
0.9,3752
1.01,5499
1.02,4727
0.7,1999
0.23,465
1.01,7290
0.3,742
0.73,2510
0.91,4049
0.31,544
0.43,669
0.72,2607
1.2,13165
1.31,7107
1.06,5520
0.58,1336
1.2,5822
0.3,709
1.72,11455
0.76,2680
0.33,666
0.42,984
1.09,8454
0.32,1080
0.3,776
1.18,4639
0.8,4740
1,6748
0.33,752
0.59,1431
1.06,4255
0.32,1020
1.51,9234
0.53,1857
0.83,4159
0.71,2098
0.32,505
0.51,964
1.01,4642
1,3265
1.26,4620
0.32,756
0.31,772
0.31,436
0.57,1851
0.3,710
0.39,737
1.01,6714
0.73,2841
0.52,1742
0.61,2403
1.01,6416
0.41,1110
0.7,2250
1.54,18416
0.54,1892
0.53,2472
0.33,980
0.71,3710
0.5,1598
0.58,2340
1.04,4290
1,6720
0.72,2099
1.14,5925
1.23,4986
0.31,625
0.33,666
0.59,1286
0.71,3405
2.31,17000
0.34,1084
1.71,14017
1.7,12209
2.01,15627
1.73,13102
0.35,827
0.59,1771
0.35,633
2.33,18119
2.13,13996
0.53,2682
0.3,638
0.3,789
0.42,872
0.52,1911
0.9,3538
0.61,4279
0.26,532
0.7,3039
0.77,2360
1.46,7604
2,16380
1.26,10302
0.91,3195
1.01,6332
0.34,956
0.71,2694
0.35,906
0.43,943
0.32,972
0.3,603
1.29,5158
1,3811
0.5,1389
0.4,975
2.09,12377
0.56,1605
0.38,865
1.04,5805
1.05,5592
0.32,720
1.01,4185
0.74,2423
1.5,10019
0.39,675
0.51,2925
0.72,3622
0.9,3878
0.3,742
0.3,776
1.03,4441
0.31,942
0.5,1238
0.32,1004
1.11,12016
2.47,16532
1.35,5862
0.32,730
0.51,956
0.9,4381
0.71,2381
0.92,7544
0.44,912
0.37,696
1.01,4249
0.23,484
1.06,8415
1.7,12992
0.53,942
0.72,3722
1.08,6078
0.3,878
0.34,803
0.32,716
1.09,7281
2.04,18468
0.7,2355
0.5,1447
0.62,2310
0.34,1033
1.74,11050
1.23,11430
0.56,4216
1,3142
0.62,1878
1.03,6059
1.13,4778
1.04,4547
1.19,5822
1.2,7190
0.5,1746
0.3,911
0.3,638
2.02,17692
0.33,854
0.3,844
0.73,2882
1.76,9053
1.07,6730
1.04,5102
1.5,14199
0.55,1975
0.79,3398
0.71,2103
0.9,5122
0.91,4188
0.54,1637
0.5,2168
0.76,4243
1.2,7741
0.41,1107
1.02,4318
1.01,6964
1.01,4239
0.34,626
1.21,5324
0.3,569
1.01,6630
1.01,5113
0.51,1810
1.5,8896
1.19,5439
0.31,988
0.3,641
1.5,9954
0.52,1261
0.73,2426
0.71,3062
2.4,16797
0.71,2327
0.42,653
0.52,1191
1.3,8124
0.32,756
1.3,9216
0.52,1600
0.55,1321
0.51,1656
0.54,1680
0.7,2319
0.3,878
2.01,14948
0.3,838
1.43,8599
0.4,690
0.9,3950
0.8,2925
0.4,702
0.34,723
2.01,14939
1.8,8457
0.24,526
0.53,1262
0.8,3793
0.53,1721
0.35,1063
0.32,589
0.71,2606
1.01,4912
1.07,4440
0.29,669
1.26,8110
0.58,1884
0.32,561
1.71,18599
0.35,706
1.16,4869
0.54,2041
0.9,3863
1.01,3297
0.47,1447
1.02,6479
1.51,7577
0.3,684
1.01,4642
0.42,773
0.9,3662
1,5639
1.55,9233
0.52,1244
