fips,county,state,region,urban,food_env_index,pop,pop_black,pop_hisplat,median_income,democrat_2016
01001,Autauga County,AL,East South Central,urbanized_area,7.2,55036,19.1,2.7,55317,23.8
01003,Baldwin County,AL,East South Central,urbanized_area,8,203360,9.5,4.3999999999999995,52562,19.4
01005,Barbour County,AL,East South Central,urban_cluster,5.6,26201,48,4.2,33368,46.5
01007,Bibb County,AL,East South Central,urban_cluster,7.8,22580,22.1,2.4,43404,21.2
01009,Blount County,AL,East South Central,urbanized_area,8.4,57667,1.6,9,47412,8.4
01011,Bullock County,AL,East South Central,urban_cluster,4.3,10478,75.6,0.3,29655,74.9
01013,Butler County,AL,East South Central,urban_cluster,6.6,20126,44.9,0.3,36326,42.7
01015,Calhoun County,AL,East South Central,urbanized_area,6.9,115527,20.5,3.5999999999999996,43686,27.7
01017,Chambers County,AL,East South Central,urban_cluster,6.4,33895,39.300000000000004,2.1999999999999997,37342,41.6
01019,Cherokee County,AL,East South Central,urban_cluster,8.3,25855,5,1.6,40041,14.4
01021,Chilton County,AL,East South Central,urbanized_area,8.1,43805,9.6,7.7,43501,15.8
01023,Choctaw County,AL,East South Central,rural,6.4,13188,42.3,0.5,32122,42.6
01025,Clarke County,AL,East South Central,urban_cluster,5.4,24625,45.7,0.2,33827,44.1
01027,Clay County,AL,East South Central,rural,7.8,13407,14.799999999999999,3.1,37287,18.7
01029,Cleburne County,AL,East South Central,rural,8,14939,2.8000000000000003,2.4,37396,10.4
01031,Coffee County,AL,East South Central,urban_cluster,7.5,51073,17.299999999999997,6.7,49821,20.3
01033,Colbert County,AL,East South Central,urbanized_area,7.4,54435,16,2.4,45477,29.3
01035,Conecuh County,AL,East South Central,urban_cluster,5.6,12649,46.5,1.7999999999999998,30434,46.8
01037,Coosa County,AL,East South Central,urban_cluster,6.9,10955,33.2,0.1,34792,33.9
01039,Covington County,AL,East South Central,urban_cluster,7.6,37519,13.200000000000001,1.6,39467,15
01041,Crenshaw County,AL,East South Central,rural,6.2,13866,23.599999999999998,1.7999999999999998,38937,26.6
01043,Cullman County,AL,East South Central,urban_cluster,8.2,81703,1.2,4.2,40997,10
01045,Dale County,AL,East South Central,urbanized_area,6.7,49393,19.400000000000002,6.1,44711,23.5
01047,Dallas County,AL,East South Central,urban_cluster,4.6,40755,70.39999999999999,1,30065,68.3
01049,DeKalb County,AL,East South Central,urban_cluster,8.2,71194,1.5,14.299999999999999,38842,14
01051,Elmore County,AL,East South Central,urbanized_area,7.6,80989,21.4,2.9000000000000004,54981,22.7
01053,Escambia County,AL,East South Central,urban_cluster,6.6,37621,32.2,2.1999999999999997,35026,31
01055,Etowah County,AL,East South Central,urbanized_area,7.1,103132,15.6,3.6999999999999997,42064,23.6
01057,Fayette County,AL,East South Central,urban_cluster,7.9,16657,12.1,1.7000000000000002,36541,16.5
01059,Franklin County,AL,East South Central,urban_cluster,7.9,31507,4.8,16.3,39501,18.2
01061,Geneva County,AL,East South Central,urbanized_area,7.8,26572,9.2,3.8,39293,13
01063,Greene County,AL,East South Central,rural,3.2,8533,80.30000000000001,1.2,20954,82.2
01065,Hale County,AL,East South Central,urban_cluster,6.1,14995,58.699999999999996,1.3,34679,59.4
01067,Henry County,AL,East South Central,urban_cluster,7.9,17110,27.800000000000004,2.5,45569,28.4
01069,Houston County,AL,East South Central,urbanized_area,7.1,104108,26.700000000000003,3.2,42803,25
01071,Jackson County,AL,East South Central,urban_cluster,7.9,52326,3.2,2.9000000000000004,39281,17.5
01073,Jefferson County,AL,East South Central,urbanized_area,6.3,659460,42.6,3.6999999999999997,49321,51.6
01075,Lamar County,AL,East South Central,rural,7.8,14021,10.8,1.5,36016,14.9
01077,Lauderdale County,AL,East South Central,urbanized_area,7.6,92590,10.100000000000001,2.5,44888,25.2
01079,Lawrence County,AL,East South Central,urbanized_area,8,33288,11.4,2.1,43779,24.5
01081,Lee County,AL,East South Central,urbanized_area,6.4,156597,23.1,3.6999999999999997,47564,35.9
01083,Limestone County,AL,East South Central,urbanized_area,8.1,91695,13.100000000000001,5.800000000000001,52831,23.5
01085,Lowndes County,AL,East South Central,rural,4.6,10362,74.5,0.7000000000000001,29785,73.1
01087,Macon County,AL,East South Central,urban_cluster,4,19358,82.19999999999999,1.6,32308,82.8
01089,Madison County,AL,East South Central,urbanized_area,7.5,353213,24.2,4.7,61318,38.4
01091,Marengo County,AL,East South Central,urban_cluster,5.5,19743,54.1,0.4,32255,51.1
01093,Marion County,AL,East South Central,urban_cluster,7.9,30058,3.3000000000000003,2.5,35719,11
01095,Marshall County,AL,East South Central,urban_cluster,8,94738,2.1999999999999997,13.3,41104,13.9
01097,Mobile County,AL,East South Central,urbanized_area,6.4,414328,35.3,2.8000000000000003,45802,41.8
01099,Monroe County,AL,East South Central,urban_cluster,5,21745,41.5,1.3,26036,42.2
01101,Montgomery County,AL,East South Central,urbanized_area,5.5,227120,57.3,3.4000000000000004,46545,61.4
01103,Morgan County,AL,East South Central,urbanized_area,7.9,119157,12.4,8,47529,22.2
01105,Perry County,AL,East South Central,rural,4.9,9680,69.6,0.7000000000000001,22973,72.5
01107,Pickens County,AL,East South Central,rural,7.1,20170,40.6,4.1000000000000005,36220,41.6
01109,Pike County,AL,East South Central,urban_cluster,6.2,33287,38,0.8,35684,38.4
01111,Randolph County,AL,East South Central,urban_cluster,7.2,22530,20,3,39485,22.5
01113,Russell County,AL,East South Central,urbanized_area,6.6,58480,42.699999999999996,5.2,38988,49.7
01115,St. Clair County,AL,East South Central,urbanized_area,8.4,86937,9.3,2.3,53483,14.6
01117,Shelby County,AL,East South Central,urbanized_area,8.6,208721,11.799999999999999,5.800000000000001,74063,22.7
01119,Sumter County,AL,East South Central,rural,4.6,13084,70.8,0.3,21663,74
01121,Talladega County,AL,East South Central,urbanized_area,7,80888,32.1,2.1999999999999997,39219,36.3
01123,Tallapoosa County,AL,East South Central,urban_cluster,7.2,40756,27.500000000000004,2.4,42181,28.3
01125,Tuscaloosa County,AL,East South Central,urbanized_area,7.1,204424,31.3,3.5000000000000004,50513,38.4
01127,Walker County,AL,East South Central,urban_cluster,7.5,64927,6.1,2.4,38872,15.3
01129,Washington County,AL,East South Central,rural,7.2,16746,24.6,0.5,42185,27.8
01131,Wilcox County,AL,East South Central,rural,2.5,10919,72.1,0.5,27012,70.9
01133,Winston County,AL,East South Central,urban_cluster,8,23968,0.5,3,35362,8.5
02013,Aleutians East Borough,AK,Pacific,rural,5.3,3338,5.2,9.700000000000001,66607,25.8
02016,Aleutians West Census Area,AK,Pacific,rural,7.6,5784,5.1,13.5,85192,44.3
02020,Anchorage Borough,AK,Pacific,urbanized_area,8,298225,5.5,8.9,82271,58.1
02050,Bethel Census Area,AK,NA,urban_cluster,2.9,17957,0.7000000000000001,2.1999999999999997,53853,NA
02060,Bristol Bay Borough,AK,NA,rural,6.9,917,0.4,4.5,79500,NA
02068,Denali Borough,AK,NA,rural,6,2303,0.2,0.7000000000000001,83295,NA
02070,Dillingham Census Area,AK,NA,rural,4.8,4974,0.4,3.1,58708,NA
02090,Fairbanks North Star Borough,AK,NA,urbanized_area,7.7,100031,4.2,7.7,76250,NA
02100,Haines Borough,AK,NA,rural,7.6,2537,0,2.8000000000000003,70640,NA
02105,Hoonah-Angoon Census Area,AK,NA,rural,4.3,2146,2.9000000000000004,5.5,57900,NA
02110,Juneau Borough,AK,NA,urban_cluster,8.2,32434,1.0999999999999999,6.4,90749,NA
02122,Kenai Peninsula Borough,AK,NA,urban_cluster,7.6,57961,0.5,4,65279,NA
02130,Ketchikan Gateway Borough,AK,NA,urban_cluster,8.1,13745,0.5,4.8,67321,NA
02150,Kodiak Island Borough,AK,NA,urban_cluster,8.1,13773,0.2,8.9,74167,NA
02158,Kusilvak Census Area,AK,NA,rural,1.9,8129,0.8,1.6,36468,NA
02164,Lake and Peninsula Borough,AK,NA,rural,3.5,1301,0.7000000000000001,1.5,45208,NA
02170,Matanuska-Susitna Borough,AK,NA,urban_cluster,7.6,101135,1.0999999999999999,4.6,74887,NA
02180,Nome Census Area,AK,NA,urban_cluster,3.5,9869,0.8,2.4,53821,NA
02185,North Slope Borough,AK,NA,urban_cluster,6.9,9757,0.7000000000000001,4.1000000000000005,77266,NA
02188,Northwest Arctic Borough,AK,NA,urban_cluster,3.4,7715,0.8,2.5,61533,NA
02195,Petersburg Census Area,AK,NA,rural,8.3,3275,0.6,10.6,63490,NA
02198,Prince of Wales-Hyder Census Area,AK,NA,rural,6.3,6473,0.2,3.6999999999999997,52114,NA
02220,Sitka Borough,AK,NA,urban_cluster,8.1,8810,1,6.3,70765,NA
02230,Skagway Municipality,AK,NA,rural,8,1038,0.8999999999999999,6.800000000000001,70673,NA
02240,Southeast Fairbanks Census Area,AK,NA,rural,6.1,6889,1.7000000000000002,5.2,63866,NA
02261,Valdez-Cordova Census Area,AK,NA,rural,7.2,9439,0.1,4.8,86019,NA
02275,Wrangell City,AK,NA,rural,7.5,2475,0.2,3.2,56094,NA
02282,Yakutat Borough,AK,NA,rural,5.9,682,0.8999999999999999,5.6000000000000005,64583,NA
02290,Yukon-Koyukuk Census Area,AK,NA,rural,1.9,5453,0.1,2.1,37819,NA
04001,Apache County,AZ,Mountain,urban_cluster,2,71602,0.5,6.1,32360,61.8
04003,Cochise County,AZ,Mountain,urbanized_area,6.8,126516,3.8,35,47847,34.9
04005,Coconino County,AZ,Mountain,urbanized_area,6.1,138639,1.4000000000000001,13.900000000000002,53523,54.2
04007,Gila County,AZ,Mountain,urban_cluster,6.2,53145,0.6,18.6,41179,19.1
04009,Graham County,AZ,Mountain,urban_cluster,6.3,37700,2,32.5,48173,16.3
04011,Greenlee County,AZ,Mountain,urban_cluster,5.8,9368,2,46.400000000000006,56298,21
04012,La Paz County,AZ,Mountain,urban_cluster,6.2,20477,0.8999999999999999,26.3,36479,26.5
04013,Maricopa County,AZ,Mountain,urbanized_area,7.7,4155501,5.4,30.599999999999998,58580,44.8
04015,Mohave County,AZ,Mountain,urbanized_area,5.8,204691,1.0999999999999999,15.9,41567,21.8
04017,Navajo County,AZ,Mountain,urban_cluster,4.6,107902,0.8,11.200000000000001,38798,40.8
04019,Pima County,AZ,Mountain,urbanized_area,7.5,1007257,3.5000000000000004,36.6,48676,53.3
04021,Pinal County,AZ,Mountain,urbanized_area,7.6,405537,4.5,29.599999999999998,52628,37
04023,Santa Cruz County,AZ,Mountain,urban_cluster,7.8,46358,0.5,83.39999999999999,39630,71.1
04025,Yavapai County,AZ,Mountain,urbanized_area,6.8,220972,0.5,14.299999999999999,48259,31.1
04027,Yuma County,AZ,Mountain,urbanized_area,6.8,204281,2.1,62.9,43253,46.4
05001,Arkansas County,AR,West South Central,urban_cluster,5.5,18352,26.400000000000002,3,38532,31.2
05003,Ashley County,AR,West South Central,urban_cluster,6,20771,25.6,5.2,36407,29.8
05005,Baxter County,AR,West South Central,urban_cluster,7.7,41093,0.2,2.1,40072,21.1
05007,Benton County,AR,West South Central,urbanized_area,8.2,251823,1.6,16.3,61271,28.9
05009,Boone County,AR,West South Central,urban_cluster,7,37212,0.4,2.3,40727,18.2
05011,Bradley County,AR,West South Central,urban_cluster,6.5,10994,29.299999999999997,14.799999999999999,36310,36.1
05013,Calhoun County,AR,West South Central,rural,4.6,5194,22.3,3.9,37225,28.2
05015,Carroll County,AR,West South Central,urban_cluster,8.1,27782,1.3,14.799999999999999,39686,31.1
05017,Chicot County,AR,West South Central,urban_cluster,2.9,11008,54.2,5.2,32412,56.3
05019,Clark County,AR,West South Central,urban_cluster,5.1,22495,23.9,4.6,37144,42.5
05021,Clay County,AR,West South Central,urban_cluster,7.1,15190,0.7000000000000001,1.9,32219,23.1
